 12941101 
|C190|000|5102|18|39,9|39,9|7,18|0|0|0|0|| 12987101 
|C190|060|5405|0|149,9|0|0|0|0|0|0|| 12987101 
|C190|160|5405|0|12,09|0|0|0|0|0|0|| 12988101 
|C190|160|5405|0|3,99|0|0|0|0|0|0|| 12989101 
|C190|000|5102|18|79,8|79,8|14,36|0|0|0|0|| 12989101 
|C190|060|5405|0|219,8|0|0|0|0|0|0|| 12989101 
|C190|100|5102|18|130,88|130,88|23,56|0|0|0|0|| 12990101 
|C190|100|5102|18|19,8|19,8|3,56|0|0|0|0|| 12990101 
|C190|000|5102|18|89,29|89,29|16,08|0|0|0|0|| 12990101 
|C190|060|5405|0|25,9|0|0|0|0|0|0|| 12991101 
|C190|060|5405|0|612,59|0|0|0|0|0|0|| 12991101 
|C190|000|5102|18|226,42|226,42|40,76|0|0|0|0|| 12991101 
|C190|160|5405|0|165,7|0|0|0|0|0|0|| 12992101 
|C190|060|5405|0|213,19|0|0|0|0|0|0|| 12992101 
|C190|000|5102|18|247,7|247,7|44,58|0|0|0|0|| 12992101 
|C190|100|5102|18|70,7|70,7|12,73|0|0|0|0|| 12993101 
|C190|060|5405|0|123,39|0|0|0|0|0|0|| 12993101 
|C190|160|5405|0|7,8|0|0|0|0|0|0|| 12994101 
|C190|060|5405|0|88,5|0|0|0|0|0|0|| 12994101 
|C190|000|5102|18|21,8|21,8|3,92|0|0|0|0|| 12994101 
|C190|160|5405|0|279,9|0|0|0|0|0|0|| 12995101 
|C190|000|5102|18|19,99|19,99|3,6|0|0|0|0|| 12996101 
|C190|060|5405|0|307,79|0|0|0|0|0|0|| 12996101 
|C190|000|5102|18|492,87|492,87|88,72|0|0|0|0|| 12996101 
|C190|100|5102|18|9,72|9,72|1,75|0|0|0|0|| 12997101 
|C190|060|5405|0|499|0|0|0|0|0|0|| 12998101 
|C190|060|5405|0|29,49|0|0|0|0|0|0|| 12999101 
|C190|060|5405|0|119,7|0|0|0|0|0|0|| 13000101 
|C190|000|5102|18|59,9|59,9|10,78|0|0|0|0|| 13000101 
